DATE,TIME,OPEN,HIGH,LOW,CLOSE,CHANGE,GAIN,LOSS,AVG+AF8-GAIN,AVG+AF8-LOSS,RS,RSI+AF8-14
20200102,09:15:00,1442.95,1446.275,1442.05,1446.275,,,,,,,
20200102,09:16:00,1446.275,1447.325,1446.275,1447.225,0.95,0.95,0.00,,,,
20200102,09:17:00,1447.225,1450.15,1447.225,1449.275,2.05,2.05,0.00,,,,
20200102,09:18:00,1449.275,1449.375,1447.4,1448.6,+AC0-0.68,0.00,0.68,,,,
20200102,09:19:00,1448.6,1451.475,1448.4,1451.4,2.80,2.80,0.00,,,,
20200102,09:20:00,1451.4,1452.825,1450.675,1452.375,0.97,0.97,0.00,,,,
20200102,09:21:00,1452.375,1453.3,1451.175,1451.175,+AC0-1.20,0.00,1.20,,,,
20200102,09:22:00,1451.175,1452.75,1451.075,1452.75,1.58,1.58,0.00,,,,
20200102,09:23:00,1452.75,1453.7,1452.75,1453.125,0.38,0.38,0.00,,,,
20200102,09:24:00,1453.125,1453.25,1451.2,1451.2,+AC0-1.92,0.00,1.92,,,,
20200102,09:25:00,1451.2,1452.45,1451.2,1452.45,1.25,1.25,0.00,,,,
20200102,09:26:00,1452.45,1453.925,1452.45,1453.525,1.08,1.08,0.00,,,,
20200102,09:27:00,1453.525,1453.525,1451.275,1451.675,+AC0-1.85,0.00,1.85,,,,
20200102,09:28:00,1451.675,1452.725,1451.575,1452.625,0.95,0.95,0.00,,,,
20200102,09:29:00,1452.625,1453.15,1452.225,1452.25,+AC0-0.38,0.00,0.38,0.86,0.43,1.99,66.57
20200102,09:30:00,1452.25,1455.475,1452.225,1455.475,3.22,3.22,0.00,1.03,0.40,2.57,71.97
20200102,09:31:00,1455.475,1455.55,1454.275,1455.25,+AC0-0.22,0.00,0.22,0.95,0.39,2.46,71.11
20200102,09:32:00,1455.25,1455.25,1454.3,1454.775,+AC0-0.47,0.00,0.47,0.88,0.39,2.25,69.22
20200102,09:33:00,1454.775,1455.35,1454.725,1455.15,0.38,0.38,0.00,0.85,0.37,2.32,69.90
20200102,09:34:00,1455.15,1455.675,1454.9,1455.675,0.52,0.52,0.00,0.83,0.34,2.43,70.87
20200102,09:35:00,1455.675,1458.2,1455.4,1458.2,2.53,2.53,0.00,0.95,0.31,3.01,75.04
20200102,09:36:00,1458.2,1462.3,1458.175,1461.325,3.13,3.13,0.00,1.10,0.29,3.77,79.03
20200102,09:37:00,1461.325,1461.4,1459.425,1460.025,+AC0-1.30,0.00,1.30,1.02,0.36,2.81,73.74
20200102,09:38:00,1460.025,1465.85,1459.95,1464.575,4.55,4.55,0.00,1.28,0.34,3.77,79.03
20200102,09:39:00,1464.575,1464.825,1461.475,1462.825,+AC0-1.75,0.00,1.75,1.18,0.44,2.70,72.95
20200102,09:40:00,1462.825,1464.35,1462.25,1462.75,+AC0-0.08,0.00,0.08,1.10,0.41,2.66,72.69
20200102,09:41:00,1462.75,1464.4,1462.375,1463.625,0.88,0.88,0.00,1.08,0.38,2.82,73.85
20200102,09:42:00,1463.625,1464.95,1463.625,1464.95,1.33,1.33,0.00,1.10,0.36,3.09,75.55
20200102,09:43:00,1464.95,1466.625,1464.95,1466.375,1.42,1.42,0.00,1.12,0.33,3.40,77.26
20200102,09:44:00,1466.375,1468.95,1466.275,1468.75,2.38,2.38,0.00,1.21,0.31,3.95,79.80
20200102,09:45:00,1468.75,1468.775,1466.875,1468.175,+AC0-0.58,0.00,0.58,1.13,0.33,3.45,77.54
20200102,09:46:00,1468.175,1469.975,1467.1,1468.475,0.30,0.30,0.00,1.07,0.30,3.52,77.89
20200102,09:47:00,1468.475,1469.925,1468.35,1469.7,1.23,1.23,0.00,1.08,0.28,3.83,79.31
20200102,09:48:00,1469.7,1469.85,1467.95,1469.225,+AC0-0.48,0.00,0.48,1.00,0.30,3.39,77.24
20200102,09:49:00,1469.225,1469.625,1466.475,1466.475,+AC0-2.75,0.00,2.75,0.93,0.47,1.98,66.41
20200102,09:50:00,1466.475,1467.725,1464.4,1467.35,0.88,0.88,0.00,0.93,0.44,2.12,67.95
